frame_idx,conf,cx,cy
11,0.26,184,404
12,0.29,184,403
26,0.27,187,400
28,0.28,187,400
47,0.28,185,399
48,0.28,184,399
55,0.38,181,401
56,0.35,180,401
57,0.33,180,401
58,0.40,179,401
59,0.37,179,401
60,0.46,178,401
61,0.40,178,401
62,0.48,177,401
63,0.36,177,401
64,0.31,177,401
76,0.29,176,400
77,0.30,176,400
78,0.35,176,400
79,0.37,176,400
80,0.28,177,401
81,0.30,177,401
82,0.28,177,401
83,0.34,178,401
84,0.35,178,401
85,0.34,178,402
86,0.38,179,402
87,0.48,179,402
88,0.46,179,402
89,0.42,179,402
90,0.48,179,403
91,0.41,179,402
92,0.52,179,403
93,0.41,180,403
94,0.36,180,402
95,0.39,180,403
96,0.36,181,403
97,0.45,180,403
98,0.29,180,402
109,0.32,184,400
110,0.26,184,400
111,0.29,184,400
112,0.26,185,400
117,0.28,186,400
119,0.40,187,401
120,0.48,187,401
121,0.39,188,401
122,0.33,188,400
123,0.33,188,400
124,0.39,188,401
128,0.27,188,400
160,0.31,193,403
161,0.30,194,403
162,0.28,194,403
164,0.34,194,403
165,0.31,194,403
168,0.28,195,403
169,0.36,196,403
170,0.36,196,404
171,0.40,196,404
172,0.43,196,404
173,0.35,197,404
174,0.41,197,405
175,0.47,197,404
176,0.45,197,404
177,0.34,198,405
178,0.40,199,405
179,0.53,200,406
180,0.60,201,405
181,0.71,201,406
182,0.70,201,406
183,0.51,202,406
184,0.54,202,406
185,0.38,202,406
186,0.49,203,407
187,0.32,203,406
188,0.31,203,409
189,0.48,203,409
190,0.37,205,410
195,0.36,208,411
196,0.49,208,410
197,0.44,209,411
198,0.55,210,412
199,0.32,211,411
201,0.52,212,410
202,0.49,212,411
203,0.59,213,410
204,0.48,213,412
205,0.45,214,412
212,0.52,219,412
213,0.48,220,412
214,0.44,221,412
215,0.35,221,411
216,0.45,223,409
217,0.50,223,409
218,0.54,223,408
219,0.48,224,409
220,0.51,225,410
221,0.35,226,409
222,0.55,226,411
223,0.53,227,410
224,0.63,228,410
225,0.47,229,411
226,0.45,230,409
228,0.29,232,409
230,0.44,234,410
231,0.53,234,410
232,0.62,235,410
233,0.74,235,410
234,0.73,236,410
235,0.66,237,410
236,0.68,238,409
237,0.71,239,410
238,0.75,239,410
239,0.60,240,410
240,0.73,241,410
241,0.59,241,410
242,0.52,242,410
243,0.50,242,410
244,0.39,243,410
245,0.58,244,409
246,0.50,245,409
247,0.64,245,409
248,0.76,246,410
249,0.69,247,410
250,0.71,247,409
251,0.71,248,409
252,0.75,249,410
253,0.71,249,410
254,0.64,250,410
255,0.44,250,410
256,0.51,251,410
257,0.68,251,410
258,0.67,252,409
259,0.75,252,410
260,0.67,254,410
261,0.79,254,409
262,0.78,255,410
263,0.75,255,410
264,0.77,256,410
265,0.70,256,410
266,0.72,257,410
267,0.55,256,410
268,0.77,257,411
269,0.56,258,410
270,0.61,258,410
271,0.69,258,412
272,0.66,259,412
273,0.64,259,412
274,0.49,260,411
275,0.43,260,412
279,0.34,254,414
282,0.42,260,413
283,0.46,259,413
284,0.48,259,412
285,0.31,259,412
287,0.32,259,413
288,0.35,259,413
289,0.28,258,412
290,0.26,258,412
291,0.30,258,412
293,0.35,259,409
294,0.30,258,411
306,0.54,255,415
307,0.58,255,415
308,0.54,256,415
309,0.63,253,415
310,0.63,252,416
311,0.47,253,418
